iso3,male.u5.birth.registration,female.u5.birth.registration,total.u5.birth.registration,survey_year,region
GIN,,,,1999,Sub-Saharan Africa
GIN,,,,2005,Sub-Saharan Africa
GIN,0.612241029279851,0.598186922255968,0.605329243143694,2012,Sub-Saharan Africa
JOR,,,,1990,Middle East & North Africa
JOR,,,,1997,Middle East & North Africa
JOR,,,,2002,Middle East & North Africa
JOR,,,,2007,Middle East & North Africa
JOR,,,,2009,Middle East & North Africa
JOR,0.993016753561382,0.987885902233357,0.990562053831758,2012,Middle East & North Africa
JOR,0.982604177660847,0.974987773205378,0.978867231995407,2018,Middle East & North Africa
KEN,,,,1998,Sub-Saharan Africa
KEN,,,,2003,Sub-Saharan Africa
KEN,0.608418366786108,0.591814676380326,0.600311067394493,2009,Sub-Saharan Africa
KEN,0.695900997021884,0.688957337520077,0.692488917777278,2014,Sub-Saharan Africa
KEN,,,,2015,Sub-Saharan Africa
LSO,,,,2005,Sub-Saharan Africa
LSO,0.455317719681612,0.437290283653878,0.446251835221397,2010,Sub-Saharan Africa
LSO,0.424479056840188,0.436547644365621,0.430497608499851,2014,Sub-Saharan Africa
LBR,0.0349257884036126,0.0437361281095789,0.0391812210285743,2007,Sub-Saharan Africa
LBR,,,,2011,Sub-Saharan Africa
LBR,0.250088914668173,0.243622824093629,0.246971921709549,2013,Sub-Saharan Africa
LBR,,,,2016,Sub-Saharan Africa
MDG,,,,1997,Sub-Saharan Africa
MDG,,,,2004,Sub-Saharan Africa
MDG,0.802899269201669,0.79137002875603,0.797208872008859,2009,Sub-Saharan Africa
MDG,,,,2016,Sub-Saharan Africa
MWI,,,,1992,Sub-Saharan Africa
MWI,,,,2000,Sub-Saharan Africa
MWI,,,,2005,Sub-Saharan Africa
MWI,,,,2010,Sub-Saharan Africa
MWI,,,,2012,Sub-Saharan Africa
MWI,0.67104696154958,0.672457879864683,0.671760786018576,2016,Sub-Saharan Africa
MWI,,,,2017,Sub-Saharan Africa
MLI,,,,1996,Sub-Saharan Africa
MLI,,,,2001,Sub-Saharan Africa
MLI,0.568611491943892,0.527780089314219,0.54846507971227,2006,Sub-Saharan Africa
MLI,0.850897568221129,0.833798044333701,0.842568825542986,2013,Sub-Saharan Africa
MLI,,,,2015,Sub-Saharan Africa
MAR,,,,1992,Middle East & North Africa
MAR,,,,2004,Middle East & North Africa
MOZ,,,,1997,Sub-Saharan Africa
MOZ,,,,2004,Sub-Saharan Africa
MOZ,0.477364255545991,0.477901193832551,0.4776329976162,2011,Sub-Saharan Africa
NAM,,,,1992,Sub-Saharan Africa
NAM,,,,2000,Sub-Saharan Africa
NAM,0.658391031010691,0.686512342167473,0.67247093442692,2007,Sub-Saharan Africa
NAM,0.90989043552264,0.907338552341191,0.908589289035997,2013,Sub-Saharan Africa
NER,,,,1992,Sub-Saharan Africa
NER,,,,1998,Sub-Saharan Africa
NER,0.328060826493844,0.321317368000578,0.32475851164461,2006,Sub-Saharan Africa
NER,0.654495810546759,0.622276315206904,0.638543712605453,2012,Sub-Saharan Africa
NGA,,,,1990,Sub-Saharan Africa
NGA,,,,2003,Sub-Saharan Africa
NGA,,,,2008,Sub-Saharan Africa
NGA,,,,2010,Sub-Saharan Africa
NGA,0.308594810612079,0.308997327375336,0.30879457659939,2013,Sub-Saharan Africa
RWA,,,,2000,Sub-Saharan Africa
RWA,,,,2005,Sub-Saharan Africa
RWA,,,,2008,Sub-Saharan Africa
RWA,0.635729383772937,0.626749902126855,0.631324374370822,2011,Sub-Saharan Africa
RWA,,,,2013,Sub-Saharan Africa
RWA,0.577331298059074,0.580591813633784,0.578953842329798,2015,Sub-Saharan Africa
RWA,,,,2017,Sub-Saharan Africa
SEN,,,,1997,Sub-Saharan Africa
SEN,,,,2005,Sub-Saharan Africa
SEN,,,,2006,Sub-Saharan Africa
SEN,,,,2009,Sub-Saharan Africa
SEN,0.753511806586953,0.743632657463353,0.748673762520467,2011,Sub-Saharan Africa
SEN,0.73920172532259,0.718048326904399,0.72858413021774,2013,Sub-Saharan Africa
SEN,0.698143974327567,0.667468401822295,0.682849411436301,2015,Sub-Saharan Africa
SEN,0.795226393031294,0.759869828978012,0.77799345870448,2017,Sub-Saharan Africa
SLE,0.520435800889591,0.49677434758537,0.508524067517761,2008,Sub-Saharan Africa
SLE,0.761591977802843,0.771734209950924,0.766731798561402,2013,Sub-Saharan Africa
SLE,,,,2016,Sub-Saharan Africa
ZAF,,,,2016,Sub-Saharan Africa
TZA,,,,1996,Sub-Saharan Africa
TZA,,,,1999,Sub-Saharan Africa
TZA,,,,2005,Sub-Saharan Africa
TZA,0.168734644373039,0.162814150549477,0.165752926760987,2010,Sub-Saharan Africa
TZA,0.279107470520906,0.256799426139708,0.267994642174618,2016,Sub-Saharan Africa
TZA,,,,2017,Sub-Saharan Africa
TGO,,,,1998,Sub-Saharan Africa
TGO,,,,2014,Sub-Saharan Africa
UGA,,,,1995,Sub-Saharan Africa
UGA,,,,2001,Sub-Saharan Africa
UGA,0.212250495634155,0.204820234174843,0.208490314522618,2006,Sub-Saharan Africa
UGA,,,,2010,Sub-Saharan Africa
UGA,0.299556020513296,0.299810180793205,0.299682879553147,2011,Sub-Saharan Africa
UGA,,,,2015,Sub-Saharan Africa
UGA,0.320031700525538,0.321716457089561,0.320871017467267,2016,Sub-Saharan Africa
YEM,0.352450175838697,0.344750272174018,0.348697197004408,2013,Middle East & North Africa
ZMB,,,,1997,Sub-Saharan Africa
ZMB,,,,2002,Sub-Saharan Africa
ZMB,0.140810024739764,0.140329896611105,0.140567149586326,2007,Sub-Saharan Africa
ZMB,0.120189822757192,0.112087055905473,0.116182496311435,2014,Sub-Saharan Africa
ZWE,,,,1994,Sub-Saharan Africa
ZWE,,,,1999,Sub-Saharan Africa
ZWE,0.77803371847038,0.783923988576823,0.780961977133647,2006,Sub-Saharan Africa
ZWE,0.482713749384329,0.493775762618355,0.488274624060207,2011,Sub-Saharan Africa
ZWE,0.425345512443132,0.441991258765827,0.433902368853913,2015,Sub-Saharan Africa
STP,0.743441154685455,0.751963301613143,0.747703289877494,2009,Sub-Saharan Africa
